score,date,content,writer_id,like_count,dislike_count,source
10,2026.06.13 10:07,개연성 공간적공포 뻔한줄거리가아닌 인갸의심리적요소와의미가 들어간 괜찮은 작품,chj8****,6,6,관람객
7,2026.06.13 02:54,작품의 일등공신 프로덕션 디자인과 이를 잘 활용한 연출. 깊지는 않아도 자기 내면 심리 스토리를 소재와 잘 꿰어냈다. 반올림 7점.,lead****,3,3,관람객
1,2026.06.13 02:00,진짜 살면서 영화를 최소 100편은 봤을텐데 그 중에 최악이었어요,chot****,70,26,관람객
7,2026.06.12 15:11,20세 감독이 만든 첫 영화가 이정도라면 다음 영화에서 어느정도 진전이 있을지 기대됩니다. 점프스퀘어 없이 이정도 긴장감과 공포라면 좀 아쉽긴하지만 호 드리고 싶습니다.,wilh****,5,4,관람객
8,2026.06.12 14:39,영상미는 좋다고 생각해요. 그 아무도 없는 텅빈 느낌은 확실히 받을수있었습니다. 하지만..스토리는 뭘 의미하려는 건지 모르겠네요.,dero****,8,2,관람객
5,2026.06.12 12:24,"기이함에서부터 발생하는 원초적 공포를 보여주는 파라노말 액티비티류인가 아니면 REC 같은 페이크 다큐 형태인가 긴가 민가 했는데, 보아하니 감독도 나처럼 고민해서 이거 저거 섞어 만든건지 공포도 기이함도 애매한 무언가였다.",gudi****,12,3,관람객
9,2026.06.11 18:07,지방영화관에서 혼자봤는데 백룸 온줄... 영화끝나고 사람보니까 그렇게 반가울 수가 없다.,sonj****,12,6,관람객
6,2026.06.11 17:53,종일 헤매다가 끝난다.,clou****,15,2,관람객
7,2026.06.11 14:58,리미널 스페이스와 코즈믹 호러 장르 특유의 근원적 공포를 극대화시키는 영리한 연출,chun****,2,6,관람객
10,2026.06.11 12:02,백룸 너무 무서워요 백룸,9102****,4,6,관람객
5,2026.06.10 19:36,긴장감 애매공포감 애매스토리 애매연출 애매모든게 애매한 영화나도 점수 애매하게 줘야지,gusd****,14,7,관람객
10,2026.06.10 01:18,평이 진짜 갈리는데.. 전 영화의 전체적인 기괴함과 불쾌함이 흥미로웠어서 재밌게 봤어요. 생각할 거리도 많아서 단순히 극장에서 관람하고 끝나는 영화가 아니라 이후에 이런 저런 해석을 해볼수 있어서 더 좋았습니다. 단순 킬링타임/정석공포물 을 기대하신다면 보지 않는게 좋을 듯..,yuhh****,20,10,관람객
3,2026.06.09 22:54,이런 컨텐츠로 이 정도밖에 못 뽑다니...,jeff****,26,11,관람객
8,2026.06.09 18:12,처절하게 망가진 내면의 세계,blue****,7,3,관람객
1,2026.06.09 14:07,백룸에 대한 기초지식 없이 보면 영화보는 내내 아무것도 이해 못함... 아는 사람들끼리만 공유하는 그들만의 리그 이건 상업영화가 아닌 독립영화로 구분해야 맞을듯,zazz****,44,14,관람객
1,2026.06.09 12:22,1점도 아깝다 너무 돈아깝고 시간아깝고 ㅠㅠㅠ,sh98****,44,19,관람객
8,2026.06.09 11:57,재밌는데 어렵습니다~~,hkgl****,7,5,관람객
1,2026.06.09 11:01,보지마셈 개쳐노잼임ㅋㅋ,010q****,73,21,관람객
1,2026.06.09 09:08,개노잼ㄷㄷ 말도안되고 황당함 무섭지도아늠,9706****,43,13,관람객
10,2026.06.09 02:27,"소름돋는, 공간화된 기억 어드벤처",sj22****,7,4,관람객
5,2026.06.08 20:32,제작비 투자받은 대학생 졸작 느낌,dec1****,35,13,관람객
2,2026.06.08 20:32,"아 보는데 계속 싸구려 카메라로 움직이면서 촬영하니까 멀미나서 토할꺼 같음 ㅡㅡ, 영화도 별로임 차라리 겟 아웃 같은거 보셈",jwj8****,40,17,관람객
1,2026.06.08 19:42,와이프가 보고 싶다고 해서 예고편도 안보고 그냥 가서 봤는데...백룸이 뭔지는 안알려주더라도 메인 인물의 감정 변화의 이유는 알려줘야 하는거 아니냐?,jjc3****,49,11,관람객
1,2026.06.08 19:10,이 영화 >>????<< 이걸로 설명가능,yoon****,42,12,관람객
10,2026.06.08 15:51,공포 연출 만족합니다 전체적으로 나쁘지 않았음,hchc****,9,7,관람객
1,2026.06.08 08:23,사전지식없이 봤는데소재는 괜찮았으나 재미는 없고 지루했음,jeon****,31,14,관람객
8,2026.06.08 08:00,생각보다 추상적인 편이에요,univ****,9,3,관람객
10,2026.06.07 22:45,아. 너무 무서움. 진짜 화들짝 놀라면서 봄.심야로 보고 지하주차장 내려왔는데 주차된 차들만 몇대 있고 사람이 없음.백룸 주차장 버전같아서 살짝 소름..ㅋ사운드로 공포 극대화 미친듯 아오..,wint****,9,8,관람객
2,2026.06.07 22:00,살면서 본 영화중 재미없는 영화 1위임ㅋㅋ 평점알바 댓글알바 쓰지말고 정정당당하게 평가받으세요. 돈아깝고 시간아깝고 오죽하면 이렇게 재미없어서 영화 평점 쓴거 처음임,lhj1****,154,52,관람객
10,2026.06.07 19:39,"모난 부분없이 ""깔끔""하게 잘 만든 영화, 뛰어난 사운드 이펙트에 귀도 즐거움",mjze****,5,10,관람객
10,2026.06.07 19:35,"블랙미러, 버드박스, 미드소마 처럼 불쾌한거 좋아하시면 강추 오랜만에 불쾌한 영화중에 육각형 영화 였습니다. 취향이라면 명작",whru****,11,9,관람객
10,2026.06.07 16:10,근래에 본 공포영화 중 탑오브탑,jun0****,16,11,관람객
1,2026.06.07 15:00,최악 10년만에 영화평쓴다보지마세요 시간날림,rof6****,117,46,관람객
8,2026.06.07 14:21,타임킬링용 연출은 좋았음,seng****,12,6,관람객
1,2026.06.07 09:56,먼가 대단한걸 보여주고싶지만 능력이 안되는 느낌초반 분위기만 잡아놓고 후반부는 나몰라라,madl****,79,32,관람객
10,2026.06.07 04:13,영상미 진짜 원작 싱크로율 미치게 잘 만든 영화입니다. 꼭 보세요,mimi****,25,15,관람객
1,2026.06.07 01:44,소중한 두 시간을 뺏겼다. 영화를 보는 내내 내 표정은 지루함으로 굳어있었음.,0ins****,108,44,관람객
2,2026.06.07 01:42,욕나온다 진심 돈 아까움,fsgw****,71,35,관람객
9,2026.06.07 01:19,이게 호불호가 엄청 나눠질 그런 영화인 것 같아요일단은 기괴한 거를 별로 좋아하지 않은 분들은 보지 않는 것을 추천하고요그리고 내용을 해석하는데 아마 쉽지 않을 것 같습니다.일단 저는 이게 게임이 있다는 거는 알고 있었고 그래서 어떻게 풀어나갈까 싶기는 했는데 저는 처음엔 그냥 공포로만 풀어나갈 줄 알았는데 그래도 나름 그래도 재미있게 풀어나갔던 것 같아요그래서 9점을 줬는데 뭔가 간단한 그냥 공포물 영화를 생각하셨다면은 아마 평점을 낮게 주실 수밖에 없을 것 같습니다.좀 철학적으로 다가가거나 그래야지 이 영화를 이해하실 수 있을 것 같아요.그래서 간단한 뻔한 그런 영화를 원하신다면 굳이 추천하진 않습니다.,pqaw****,38,16,관람객
6,2026.06.07 00:47,관객에게 숙제를 남기거나 여운을 남기는 영화를 좋아하지만 반전없이 짧은 시간안에 너무 많은 의문을 남겼다. 감독목을 조르고 싶었음.,xcor****,27,13,관람객
9,2026.06.06 23:07,신비롭고 탐험 욕구를 불러일으키는 장소 & 설정. 백룸이 기억으로 증식하고 크리쳐가 생긴다는 해석도 나름 이해가 되고 마음에 든다. 그런데 크리쳐들을 다룰 수 있게 된 클락이 마지막에 해적클락에게 살해당한 이유는 잘 모르겠다.. 아시는분,choc****,11,5,관람객
8,2026.06.06 22:57,나름 볼만함 깜놀 갑툭튀 이런거 없이 쫄깃하게 만듬. 근데 여주가 너무 암걸림,evat****,8,4,관람객
10,2026.06.06 22:09,와 내 인생 최고에 명작입니다꼭보세요개무서움,wbh3****,7,15,관람객
1,2026.06.06 19:06,진짜 장난하냐? 7광구랑 좋은 승부,emfo****,50,26,관람객
8,2026.06.06 18:09,기대민큼 재밌엇다. 다시 보고 싶은 영화… 대단해,dieu****,9,9,관람객
9,2026.06.06 17:17,백룸을 빙자한 ‘겟 아웃’,won4****,11,7,관람객
10,2026.06.06 17:07,퇴근길에 텅 빈 회사 복도 걸어 나오는데 조명 깜빡이는 거 보고 진심 주저앉을 뻔했잖아ㅋㅋㅋ 일상 공간을 공포 유발지로 만드네,umix****,6,8,관람객
10,2026.06.06 16:35,와 진짜 숨막혀 죽는줄 알았네 .. 긴장감 개쩔어요 !!,0419****,6,9,관람객
10,2026.06.06 16:13,인터넷에서 보던 가상의 공간이 스크린으로 완벽하게 구현된 걸 보는 갓만으로도 충분히 가치 있는 관람이었습니다.,kooz****,5,8,관람객
10,2026.06.06 15:38,분명 대낮처럼 밝고 환한 공간인데 왜 이렇게 음산하고 조마조마한지 모르겠어요 어둠 속에서 귀신 나오는 것보다 이 환한 기괴함이 훨씬 압도적입니다,yay2****,7,9,관람객
4,2026.06.06 15:35,음... 떡밥이 회수안된 느낌?,lee_****,25,9,관람객
10,2026.06.06 15:27,"스토리가 억지스럽지 않고 상황 자체가 주는 서스펜스에 집중해서 그런지, 다 보고 나서도 잔상이 꽤 길게 남는 영화입니다.",yeru****,4,8,관람객
7,2026.06.06 15:15,사라진 것은 없어지지 않는다. 다만 아무도 찾지 않는 방에 남겨질 뿐.,hhb5****,8,4,관람객
10,2026.06.06 15:14,사운드로만 관객을 깜짝 놀라게 하는 뻔한 점프 스케어가 없어서 정말 만족스러웠습니다.,js10****,3,8,관람객
10,2026.06.06 13:59,보통의 공포 영화가 그냥 놀래키기 라면 이 영화는 고림시키기에 가깝습니다. 극장이라는 폐쇄된 공간에서 봐야 그 고립감이 고스란히 체감돼요,gree****,7,7,관람객
10,2026.06.06 13:28,끝없이 반복되는 공간을 비출 때 묘한 기괴함이 느껴지네요! 비주얼이 주는 압도감이 엄청납니다.,wjdd****,5,6,관람객
10,2026.06.06 12:59,모르는 동네에서 길 잃었을 때 느껴지는 그 막막하고 서늘한 현실 공포의 상위 호환 버전입니다. 공간이 인간을 거부하는 느낌이에요,tla5****,6,7,관람객
10,2026.06.06 12:46,"초반에는 '저기선 저렇게 행동해야지' 하면서 훈수 두는 마음으로 보다가, 나중엔 규칙 자체가 무의미해지는 절망적인 상황에 같이 압도당해 버렸습니다!!",odh0****,3,5,관람객
10,2026.06.06 11:57,"주인공이 가지 말라는 곳을 가며 삽질하는 게 아니라, 애초에 어디로 가야 할지 길 자체가 없는 막막함에서 오는 공포라 신선했습니다",jhpi****,4,6,관람객
10,2026.06.06 11:57,벽지 패턴이나 조명 각도 같은 미장센이 진짜 변태 같아요 별거 아닌 사물들이 나를 감시하는 것 같은 착각이 들어서 소름 돋았습니다,algy****,5,6,관람객
