별점,날짜,내용,정제된_내용,요일,리뷰길이,tfidf_같아요,tfidf_공간이,tfidf_너무,tfidf_만드는,tfidf_만큼,tfidf_무서움,tfidf_백룸,tfidf_백룸에,tfidf_봤는데,tfidf_봤습니다,tfidf_영화,tfidf_이상한,tfidf_이해하기,tfidf_재밌게,tfidf_주인공이,tfidf_죽을,tfidf_중간에,tfidf_중독되며,tfidf_중반부터,tfidf_지루해도,tfidf_지루했어요,tfidf_직접,tfidf_진짜로요,tfidf_찝찝했지만,tfidf_차분히,tfidf_참고,tfidf_창조자가,tfidf_초반엔,tfidf_최고,tfidf_최악입니다
8,2026-07-20,"중간에 주인공이 바뀜, 깜놀보다는 심리적 공포감 조정해서 좋음",중간에 주인공이 바뀜 깜놀보다는 심리적 공포감 조정해서 좋음,Monday,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-20,이해하기 난해하지만 엄청 잘 만들어진 영화,이해하기 난해하지만 엄청 잘 만들어진 영화,Monday,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6341187675897165,0.0,0.7732356617425885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2026-07-20,미국판 B급영화이자 저예산 영화.,미국판 b급영화이자 저예산 영화,Monday,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-20,"이상한 나라의 클락 아저씨, <Alice in Wonderland>의 21세기 어른들의 잔혹 동화 버전",이상한 나라의 클락 아저씨 alice in wonderland의 세기 어른들의 잔혹 동화 버전,Monday,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-07-20,공간의 무서움 잘표현함,공간의 무서움 잘표현함,Monday,12,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2026-07-20,잘보았어요~ 잼나요,잘보았어요 잼나요,Monday,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-19,스릴영화가 잘만들어졌네요,스릴영화가 잘만들어졌네요,Sunday,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2026-07-19,백룸 세계관을 모르는 상태로봐서 그런지 내용 이해는 전반적으로 못했다 세계관부터 이해한뒤에 보면 좋을영화,백룸 세계관을 모르는 상태로봐서 그런지 내용 이해는 전반적으로 못했다 세계관부터 이해한뒤에 보면 좋을영화,Sunday,58,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-07-19,재밌긴했어요 진짜로요,재밌긴했어요 진짜로요,Sunday,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2026-07-19,끝나도 머리가 복잡한 영화,끝나도 머리가 복잡한 영화,Sunday,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2026-07-19,이 공간이 좋아 남기로 했다,이 공간이 좋아 남기로 했다,Sunday,15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2026-07-19,정신과 의사가 정신이 안 좋아지는 내용입니다...,정신과 의사가 정신이 안 좋아지는 내용입니다,Sunday,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2026-07-19,바이럴 된 만큼 기대하고 봤는데 보는 내내 지루했어요,바이럴 된 만큼 기대하고 봤는데 보는 내내 지루했어요,Sunday,29,0.0,0.0,0.0,0.0,0.5571429581900385,0.0,0.0,0.0,0.5571429581900385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6157787332138925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-19,"저는 백룸에 가게 된다면,, 금방 죽을 것 같아요",저는 백룸에 가게 된다면 금방 죽을 것 같아요,Sunday,27,0.5571429581900385,0.0,0.0,0.0,0.0,0.0,0.0,0.5571429581900385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6157787332138925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-18,전하자는 메시지가 뭔지는 모르겠음,전하자는 메시지가 뭔지는 모르겠음,Saturday,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2026-07-18,재밋엇다 재밋어!!,재밋엇다 재밋어,Saturday,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2026-07-18,이해하기 어렵지만 굿,이해하기 어렵지만 굿,Saturday,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
